"deposit","timestamp"
"646729238615839.86867",1627030804387
"616821137930967.13552",1626944404326
"600177931752062.80833",1626858001485
"582265100302516.15703",1626771600720
"570392773560457.54405",1626685204217
"563781182539123.15441",1626598802719
"557025037269907.32791",1626512406525
"540812004332525.02991",1626426002686
"537811737116009.02147",1626339604032
"524874779851965.47562",1626253206481
"505837174197636.80112",1626166805568
"507501365727982.34723",1626080404166
"498014256351959.64944",1625994005612
"489492924465929.70906",1625907606132
"471083981727276.09726",1625821202725
"457046668041976.34713",1625734806107
"446104455102733.2666",1625648404908
"437488569156053.72066",1625562005700
"428187047118153.81403",1625475601447
"423746598847440.17817",1625389203536
"418473630457790.8004",1625302801170
"413296008656091.35196",1625216402731
"405044059624439.48988",1625130004049
"397240808666541.9825",1625043601968
"384737564881257.52044",1624957207018
"369303309540758.7671",1624870805766
"361835132751258.10076",1624784400266
"347106242277604.58449",1624698002514
"347688765061518.34839",1624611795860
"342886769266036.25376",1624525203441
"352581691680268.59296",1624438800934
"350364474062211.71365",1624352400941
"345411925619221.83396",1624266005881
"357827773858772.70417",1624179605391
"348724209938215.37372",1624093204263
"350802482993838.63913",1624006803523
"358939956351052.97408",1623920411002
"353715463315912.1106",1623834000471
"341779419832179.3407",1623747605571
"333763548329100.70949",1623661201108
"318692355405921.37966",1623574802544
"313380054780231.97547",1623488400305
"312965686032133.21067",1623402007186
"307929792407339.30313",1623315600373
"304299453699119.49425",1623229205189
"291919749619368.65266",1623142804700
"293386560641275.11221",1623056400054
"290808031806609.05986",1622970005165
"290395781203812.86293",1622883602862
"288375550814217.18633",1622797203926
"288722624539511.89861",1622710805537
"285065353373660.08238",1622624404509
"282163060113893.14359",1622538003492
"260219571413402.65757",1622437628669
"264499861966023.51256",1622351224776
"265504637982182.86137",1622264824689
"268116373138324.40788",1622178422698
"269932548886596.7411",1622019602695
"263028848322768.51845",1621933204673
"261979780688510.55737",1621846806651
"283222786211716.82268",1621760401864
"285312927161695.4009",1621674003842
"287217353108905.21965",1621587605820
"274518650318049.34385",1621501201033
"308137237312787.15009",1621414803011
"300598873498042.94291",1621328404990
"295301247833503.62302",1621242000203
"296479018066097.20942",1621155602181
"291287402167269.12198",1621069204159
"290429414388084.52071",1620982806137
"287382919615103.05408",1620896401350
"293165097056887.25828",1620810003328
"279491727428430.58858",1620723605306
"278306674863942.92157",1620637200519
"276365631474072.93408",1620550802497
"272529208875824.08314",1620464404476
"271062987812653.53136",1620424652321
"262686735642523.8745",1620346707102
"270236348364631.90221",1620259535386
"271590090485177.84798",1620172763632
"275636773448032.67423",1620085766427
"273657136237001.72749",1619998585985
"286443789370347.12244",1619911773035
"282151062185613.49153",1619825094816
"258223303002374.56572",1619738454063
"245695898571653.86896",1619651864262
"239807849678186.68228",1619565326840
"239405941487381.29868",1619478679975
"241290207502889.17612",1619392001931
"232464791356365.69213",1619305446722
"223643852063043.00832",1619219243897
"221412408015542.85009",1619132864134
"217778135895709.05175",1619046544622
"217228626310611.45755",1618960060908
"218203764693856.01409",1618873762598
"213158031646671.08728",1618787723926
"223123729637916.72852",1618701521905
"222819444184638.22107",1618615316381
"220044449470189.12793",1618528860912
"217121197543390.88536",1618441830097
"217119423815803.43999",1618354882542
"215483305854325.41357",1618267951838
"222219174445816.51501",1618180743726
"218990187164285.32195",1618093668479
"216753902040974.32592",1618006467965
"164070515723717.12791",1617919351691
"156223928992646.71633",1617832382378
"171278970517431.38858",1617746200800
"164108787563421.05755",1617660163290
"168405727297464.06119",1617574214279
"165614098474551.95193",1617488301304
"162984620536946.96881",1617402414893
"164824231085327.43756",1617316666535
"162813454051773.29592",1617231335844
"157855348885247.14399",1617146191026
"156001104343823.5773",1617060557028
"149419071992913.77309",1616975780756
"146386701165763.04778",1616890908035
"143002419826948.11687",1616805985973
"122694643635545.62502",1616721020077
"120687313677699.0069",1616636339123
"113395771562023.96729",1616552113141
"108037911246646.29726",1616467545872
"101247423903206.46038",1616383070205
"92805153499325.775387",1616298851477
"83145766536765.009066",1616214786793
"70513717012519.895374",1616129935776
"53970149336872.944733",1616045520541
